t,dbm
114.644,-55
114.757,-55
114.869,-55
114.981,-55
115.093,-55
115.206,-55
115.318,-55
115.434,-55
115.546,-55
115.661,-55
115.774,-56
115.886,-56
115.999,-56
116.111,-56
116.225,-57
116.337,-56
116.452,-56
116.564,-56
116.676,-56
116.789,-56
116.901,-56
117.013,-56
117.126,-55
117.238,-56
117.349,-55
117.461,-55
117.574,-55
117.686,-55
117.798,-55
117.911,-55
118.026,-56
118.142,-56
118.258,-56
118.37,-56
118.482,-56
118.593,-56
118.705,-55
118.817,-55
118.93,-55
119.042,-55
119.155,-55
119.267,-55
119.382,-55
119.494,-55
119.606,-55
119.719,-55
119.831,-55
119.944,-55
120.059,-55
120.175,-55
120.287,-55
120.399,-56
120.511,-56
120.623,-57
120.736,-57
120.848,-56
120.961,-56
121.073,-55
121.188,-55
121.303,-56
121.415,-56
121.527,-56
121.639,-55
121.752,-55
121.864,-55
121.979,-55
122.092,-55
122.203,-55
122.315,-55
122.431,-55
122.542,-55
122.655,-55
122.768,-56
122.879,-55
122.991,-55
123.103,-55
123.219,-54
123.334,-54
123.446,-54
123.558,-54
123.67,-54
123.782,-55
123.897,-55
124.009,-55
124.122,-55
124.234,-56
124.345,-56
124.458,-56
124.57,-58
124.682,-58
124.796,-58
124.908,-57
125.019,-58
125.135,-58
125.25,-57
125.361,-57
125.473,-56
125.588,-56
125.7,-56
125.812,-56
125.925,-57
126.037,-57
126.149,-56
126.261,-56
126.372,-57
126.488,-57
126.603,-56
126.715,-56
126.828,-56
126.941,-54
127.053,-54
127.165,-51
127.28,-52
127.395,-53
127.507,-53
127.619,-53
127.731,-53
127.847,-53
127.959,-52
128.072,-52
128.184,-52
128.295,-52
128.41,-52
128.525,-52
128.64,-53
128.752,-53
128.865,-53
128.977,-53
129.089,-52
129.202,-52
129.314,-53
129.425,-53
129.537,-53
129.65,-53
129.762,-53
129.875,-53
129.987,-53
130.103,-53
130.218,-53
130.33,-53
130.441,-53
130.554,-53
130.666,-52
130.781,-52
130.894,-52
131.006,-53
131.118,-53
131.23,-53
131.341,-53
131.456,-53
131.572,-53
131.684,-54
131.796,-54
131.909,-54
132.024,-53
132.136,-52
132.248,-52
132.36,-52
132.476,-53
132.59,-53
132.703,-53
132.816,-53
132.928,-53
133.04,-52
133.153,-52
133.268,-53
133.38,-54
133.495,-54
133.607,-54
133.719,-54
133.831,-53
133.944,-53
134.055,-52
134.167,-52
134.282,-53
134.394,-54
134.506,-55
134.619,-55
134.73,-55
134.845,-55
134.961,-54
135.072,-54
135.184,-54
135.296,-54
135.411,-54
135.526,-54
135.642,-54
135.754,-53
135.867,-53
135.979,-53
136.092,-53
136.204,-53
136.315,-52
136.43,-53
136.543,-52
136.654,-53
136.766,-53
136.878,-53
136.991,-53
137.103,-52
137.215,-52
137.327,-53
137.439,-53
137.552,-53
137.664,-53
137.779,-54
137.895,-53
138.01,-53
138.123,-53
138.236,-53
138.347,-53
138.459,-53
138.571,-52
138.683,-52
138.796,-52
138.908,-53
139.02,-53
139.133,-54
139.248,-54
139.36,-54
139.473,-54
139.588,-55
139.702,-55
139.815,-55
139.926,-55
140.038,-55
140.154,-55
140.269,-55
140.38,-54
140.493,-54
140.605,-54
140.717,-54
140.829,-54
140.942,-54
141.054,-54
141.166,-54
141.282,-53
141.393,-54
141.505,-54
141.616,-54
141.728,-54
141.841,-54
141.956,-54
142.067,-54
142.18,-55
142.292,-54
142.405,-54
142.52,-54
142.635,-54
142.748,-54
142.862,-55
142.974,-55
143.087,-55
143.199,-55
143.31,-55
143.423,-55
143.535,-55
143.647,-55
143.76,-54
143.872,-54
143.984,-54
144.097,-55
144.212,-55
144.325,-55
144.439,-55
144.551,-55
144.662,-55
144.773,-55
144.886,-55
144.999,-55
145.112,-55
145.224,-55
145.335,-55
145.45,-55
145.562,-55
145.677,-55
145.79,-55
145.903,-54
146.015,-54
146.128,-55
146.24,-55
146.351,-54
146.466,-53
146.579,-53
146.691,-53
146.802,-53
146.914,-55
147.027,-55
147.142,-55
147.257,-55
147.368,-54
147.48,-54
147.596,-54
147.708,-54
147.821,-54
147.936,-54
148.051,-54
148.167,-55
148.279,-53
148.39,-53
148.502,-52
148.614,-52
148.726,-52
148.842,-52
148.957,-52
149.069,-53
149.183,-54
149.296,-56
149.407,-57
149.519,-57
149.631,-56
149.744,-56
149.856,-56
149.968,-56
150.081,-56
150.193,-56
150.304,-56
150.416,-56
150.527,-56
150.64,-56
150.752,-57
